Airline,Source,Destination,Total_Stops,Price,J_Day,J_Month,J_Year,Arrival_min,Arrival_hour,Dep_min,Dep_hour,Duration_hours,Duration_mins
0,3,0,5,0,3897,24,3,2019,10,1,20,22,2,50
1,1,3,0,2,7662,1,5,2019,15,13,50,5,7,25
2,4,2,1,2,13882,9,6,2019,25,4,25,9,19,0
3,3,3,0,1,6218,12,5,2019,30,23,5,18,5,25
4,3,0,5,1,13302,1,3,2019,35,21,50,16,4,45
5,8,3,0,0,3873,24,6,2019,25,11,0,9,2,25
6,4,0,5,1,11087,12,3,2019,25,10,55,18,15,30
7,4,0,5,1,22270,1,3,2019,5,5,0,8,21,5
8,4,0,5,1,11087,12,3,2019,25,10,55,8,25,30
9,6,2,1,1,8625,27,5,2019,15,19,25,11,7,50
10,1,2,1,1,8907,1,6,2019,0,23,45,9,13,15
11,3,3,0,0,4174,18,4,2019,55,22,20,20,2,35
12,1,1,4,0,4667,24,6,2019,55,13,40,11,2,15
13,4,3,0,1,9663,9,5,2019,20,9,10,21,12,10
14,3,3,0,0,4804,24,4,2019,50,19,15,17,2,35
15,1,2,1,2,14011,3,3,2019,15,19,40,16,26,35
16,8,2,1,1,5830,15,4,2019,15,13,45,8,4,30
17,4,2,1,1,10262,12,6,2019,35,12,0,14,22,35
18,1,2,1,2,13381,12,6,2019,15,19,15,20,23,0
19,4,2,1,1,12898,27,5,2019,35,12,0,16,20,35
20,2,2,1,1,19495,6,3,2019,20,19,10,14,5,10
21,1,0,5,1,6955,21,3,2019,20,13,0,22,15,20
22,3,0,2,0,3943,3,4,2019,50,6,0,4,2,50
23,3,0,2,0,4823,1,5,2019,50,21,55,18,2,55
24,4,3,0,1,7757,6,5,2019,15,8,55,18,13,20
25,4,2,1,2,13292,9,6,2019,35,12,25,21,15,10
26,3,2,1,1,8238,1,6,2019,35,3,50,21,5,45
27,2,2,1,1,7682,15,5,2019,55,12,0,7,5,55
28,9,0,2,0,4668,18,6,2019,35,12,45,9,2,50
29,9,1,4,0,3687,15,6,2019,20,9,5,7,2,15
30,9,1,4,0,3687,18,6,2019,20,9,5,7,2,15
31,1,3,0,2,13227,1,5,2019,15,23,50,9,13,25
32,3,0,2,0,4423,6,4,2019,50,6,0,4,2,50
33,4,2,1,2,10919,15,6,2019,35,12,35,14,22,0
34,4,2,1,1,12373,18,5,2019,35,12,5,7,5,30
35,3,2,1,1,5894,27,6,2019,0,21,35,10,10,25
36,8,3,0,1,4649,21,5,2019,20,20,5,15,5,15
37,1,3,0,0,6245,18,5,2019,45,16,15,14,2,30
38,4,0,5,1,19225,6,3,2019,15,13,0,7,6,15
39,4,2,1,1,14924,3,6,2019,0,19,5,7,11,55
40,6,2,1,1,9646,21,5,2019,10,18,5,7,11,5
41,1,0,5,1,8714,15,3,2019,15,15,45,6,8,30
42,4,2,1,1,12373,18,5,2019,0,19,55,20,22,5
43,0,0,2,0,3383,6,5,2019,55,13,10,11,2,45
44,6,2,1,1,13062,21,3,2019,0,21,0,9,12,0
45,8,0,5,0,3527,24,3,2019,35,8,45,5,2,50
46,3,0,2,0,3943,27,5,2019,50,6,0,4,2,50
47,1,1,4,0,4667,3,5,2019,55,13,40,11,2,15
48,1,3,0,1,6117,15,5,2019,5,11,0,19,16,5
49,4,2,1,2,11150,27,6,2019,0,19,5,23,19,55
50,4,2,1,0,7202,9,3,2019,15,14,0,11,3,15
51,4,3,0,1,12121,1,5,2019,55,10,35,9,25,20
52,3,0,5,0,4377,24,3,2019,10,1,20,22,2,50
53,3,0,2,0,3943,18,6,2019,15,0,15,21,3,0
54,0,0,2,0,4483,3,4,2019,45,2,55,23,2,50
55,4,3,0,1,14231,24,3,2019,0,12,45,19,16,15
56,1,0,5,2,17345,1,3,2019,55,23,50,8,15,5
57,9,1,4,0,7414,6,3,2019,20,9,5,7,2,15
58,6,2,1,1,8073,6,5,2019,30,1,0,19,6,30
59,9,4,3,1,12395,6,3,2019,45,16,40,15,25,5
60,1,3,0,1,8366,6,6,2019,50,21,25,9,12,25
61,1,2,1,1,5117,3,4,2019,25,9,5,6,27,20
62,6,2,1,1,12524,3,6,2019,0,19,45,8,10,15
63,3,2,1,1,7191,15,5,2019,30,1,0,15,10,30
64,9,1,4,0,3687,24,5,2019,20,9,5,7,2,15
65,3,2,1,1,5894,24,6,2019,0,21,35,10,10,25
66,9,0,2,0,5403,24,4,2019,35,12,45,9,2,50
67,1,4,3,0,3625,6,5,2019,25,15,55,13,1,30
68,1,2,1,2,10861,21,5,2019,15,19,55,5,13,20
69,3,1,4,0,6297,12,3,2019,35,15,20,13,2,15
70,4,4,3,0,5678,1,6,2019,30,8,5,7,1,25
71,4,0,5,1,9134,9,3,2019,15,8,45,5,26,30
72,6,2,1,1,10791,24,6,2019,0,19,40,11,7,20
73,4,2,1,2,12819,24,6,2019,35,12,5,23,13,30
74,3,2,1,1,6893,21,3,2019,5,10,5,5,5,0
75,9,0,5,0,7240,9,3,2019,35,12,50,9,2,45
76,2,0,2,0,3898,3,4,2019,30,14,40,11,2,50
77,3,4,3,0,4049,3,4,2019,55,7,25,6,1,30
78,4,2,1,1,10262,15,6,2019,35,12,30,17,19,5
79,8,1,4,0,3332,21,3,2019,35,10,20,8,2,15
80,4,3,0,1,10844,9,6,2019,0,12,10,21,14,50
81,4,0,5,0,7229,24,3,2019,35,22,55,19,2,40
82,4,3,0,1,13941,6,5,2019,40,4,30,6,22,10
83,3,2,1,1,5894,27,6,2019,0,21,25,11,9,35
84,6,2,1,1,10197,18,5,2019,0,19,0,9,10,0
85,4,0,5,1,13712,6,3,2019,25,11,5,14,21,20
86,3,2,1,1,5636,24,6,2019,25,7,0,2,5,25
87,4,2,1,2,13014,6,6,2019,25,4,40,9,18,45
88,4,3,0,1,7064,1,4,2019,45,20,25,8,12,20
89,4,3,0,1,10703,24,5,2019,25,14,25,20,18,0
90,6,2,1,1,9646,27,5,2019,30,22,15,13,9,15
91,6,2,1,1,17057,6,3,2019,20,13,15,2,11,5
92,4,0,5,1,13817,12,3,2019,25,10,55,16,17,30
93,1,2,1,2,13748,6,3,2019,15,19,55,5,13,20
94,1,3,0,0,4880,21,4,2019,20,23,45,20,2,35
95,3,1,4,0,3540,21,6,2019,40,7,15,5,2,25
96,8,0,2,0,3257,15,5,2019,35,8,55,5,2,40
97,4,0,2,0,6478,3,6,2019,50,22,50,19,3,0
98,4,4,3,0,8040,18,6,2019,30,8,5,7,1,25
99,4,2,1,2,14300,12,6,2019,35,12,0,20,16,35
100,4,3,0,1,14781,15,5,2019,45,20,25,8,12,20
101,4,3,0,1,14939,9,6,2019,15,8,0,20,12,15
102,4,2,1,1,10262,24,6,2019,25,4,55,20,7,30
103,1,3,0,1,6528,12,5,2019,35,14,35,14,24,0
104,1,0,2,0,6121,1,5,2019,55,8,10,6,2,45
105,4,2,1,2,13029,18,5,2019,25,4,30,19,8,55
106,6,2,1,1,11421,27,3,2019,50,18,40,11,7,10
107,6,2,1,1,7574,27,3,2019,15,19,45,4,14,30
108,1,2,1,2,11596,9,5,2019,15,19,55,12,30,20
109,4,2,1,2,15129,24,5,2019,0,19,5,23,19,55
110,4,0,5,1,13555,18,3,2019,5,5,5,14,15,0
111,3,0,2,0,5780,12,4,2019,50,21,55,18,2,55
112,9,3,0,1,9397,12,5,2019,5,9,20,20,12,45
113,4,2,1,1,17024,6,3,2019,25,4,15,18,10,10
114,2,2,1,1,5281,27,6,2019,55,12,0,7,5,55
115,6,2,1,1,10348,18,5,2019,30,22,5,7,15,25
116,1,2,1,1,12677,6,3,2019,25,9,20,17,16,5
117,6,2,1,1,15147,3,3,2019,35,1,25,15,10,10
118,9,0,2,0,4668,12,6,2019,40,9,0,7,2,40
119,4,2,1,1,15554,9,5,2019,0,19,5,7,11,55
120,8,0,2,0,3971,9,4,2019,35,8,55,5,2,40
121,1,4,3,0,3100,3,5,2019,25,16,0,15,1,25
122,4,3,0,1,9663,6,5,2019,5,10,0,20,14,5
123,1,2,1,1,27430,1,3,2019,15,19,0,23,20,15
124,3,1,4,0,3540,12,5,2019,40,7,15,5,2,25
125,1,3,0,2,10676,21,5,2019,10,11,0,12,23,10
126,4,3,0,1,13044,12,6,2019,15,8,5,14,18,10
127,4,3,0,1,14388,6,5,2019,0,12,0,20,16,0
128,3,0,2,0,3943,24,6,2019,50,6,0,4,2,50
129,3,1,4,0,3597,3,6,2019,5,17,45,14,2,20
130,1,0,5,1,5932,21,3,2019,50,19,50,11,8,0
131,4,2,1,1,10262,15,6,2019,25,4,30,11,16,55
132,9,2,1,0,6216,12,5,2019,50,17,40,14,3,10
133,3,3,0,0,4804,15,6,2019,10,23,25,20,2,45
134,6,2,1,1,14067,21,5,2019,30,1,30,11,14,0
135,4,2,1,2,15129,18,5,2019,0,19,10,19,23,50
136,4,2,1,2,13376,6,6,2019,25,4,45,6,21,40
137,1,2,1,2,10441,27,6,2019,15,19,0,22,21,15
138,4,0,2,0,4030,24,5,2019,45,8,0,6,2,45
139,4,2,1,1,17024,3,3,2019,50,18,0,8,10,50
140,6,2,1,1,13017,9,4,2019,30,1,30,17,8,0
141,2,3,0,1,6686,6,6,2019,45,7,30,23,8,15
142,3,2,1,1,5636,15,6,2019,25,7,0,2,5,25
143,3,2,1,1,6442,9,6,2019,10,16,35,7,8,35
